domain	end	gene	start
PF00440	65	mce3R	19
PF00440_1	269	mce3R	223
PF00408	445	mrsA	376
PF02878	137	mrsA	2
PF02879	256	mrsA	160
PF02880	372	mrsA	260
PF00380	151	rpsI	31
PF00572	131	rplM	13
PF06013	92	esxT	6
PF06013	92	esxU	6
PF01580	970	eccC4	720
PF01580_1	531	eccC4	385
PF01580_2	1168	eccC4	1002
PF08817	83	eccD4	8
PF19053	463	eccD4	95
PF00082	381	mycP4	89
PF05108	468	eccB4	3
PF01083	226	cut3	43
PF01083	226	cut4	46
PF01416	279	truA	178
PF01196	116	rplQ	20
PF01000	152	rpoA	52
PF01193	219	rpoA	24
PF03118	303	rpoA	238
PF00163	90	rpsD	3
PF01479	138	rpsD	91
PF00411	138	rpsK	29
PF00416	109	rpsM	3
PF00444	37	rpmJ	1
PF01176	71	infA	8
PF00296	128	Rv3463	12
PF16363	304	rmlB	4
PF00908	179	rmlC	5
PF02720	210	Rv3466	36
PF02720	223	Rv3467	1
PF01370	224	rmlB3	38
PF00682	263	mhpE	9
PF00205	336	ilvB2	197
PF02775	537	ilvB2	391
PF02776	175	ilvB2	1
PF07883	155	Rv3471c	85
PF13577	126	Rv3472	7
PF12697	249	bpoA	1
PF01527	90	Rv3474	4
PF00665	206	Rv3475	102
PF13276	79	Rv3475	20
PF00083	224	kgtP	22
PF00934	93	PE31	3
PF00823	163	PPE60	6
PF12484	389	PPE60	309
PF01734	319	Rv3479	50
PF11856	907	Rv3479	361
PF03007	298	Rv3480c	8
PF06974	487	Rv3480c	337
PF11139	227	Rv3481c	18
PF10708	44	Rv3482c	11
PF14041	204	Rv3483c	118
PF03816	282	cpsA	109
PF13399	464	cpsA	377
PF13561	289	Rv3485c	51
PF07681	105	Rv3486	22
PF07859	223	lipF	16
PF03551	83	Rv3488	13
PF00982	493	otsA	20
PF02470	114	mce4F	38
PF02470	121	lprN	40
PF02470	114	mce4D	38
PF11887	300	mce4D	144
PF02470	119	mce4C	43
PF02470	118	mce4B	41
PF11887	306	mce4B	148
PF02470	118	mce4A	39
PF11887	391	mce4A	146
PF02405	268	yrbE4B	58
PF02405	247	yrbE4A	36
PF00106	224	hsd4A	21
PF13459	60	fdxD	3
PF00441	393	fadE26	234
PF02770	222	fadE26	126
PF02771	122	fadE26	6
PF00441	369	fadE27	213
PF02771	118	fadE27	6
PF00501	395	fadD17	16
PF13193	480	fadD17	403
PF00934	94	PE_PGRS53	4
PF00934	94	PE_PGRS54	4
PF02775	508	ilvX	359
PF02776	169	ilvX	1
PF04909	270	Rv3510c	34
PF00934	94	PE_PGRS55	4
PF13193	191	fadD18	116
PF00934	94	PE_PGRS57	4
PF00501	437	fadD19	11
PF13193	521	fadD19	446
PF00378	263	echA19	10
PF00067	375	cyp142	81
PF06314	234	Rv3519	1
PF00296	329	Rv3520c	2
PF01796	271	Rv3521	206
PF01796_1	112	Rv3521	45
PF01436	299	Rv3524	272
PF01436_1	173	Rv3524	148
PF01436_2	257	Rv3524	230
